ID	TW	CN	JP	CP950	CP936	GB2312	GBK
432	5B54	5B54	5B54	5B54	5B54	5B54	5B54
433	5B55	5B55		5B55	5B55	5B55	5B55
434	5B57	5B57	5B57	5B57	5B57	5B57	5B57
435	5B58	5B58	5B58	5B58	5B58	5B58	5B58
436	5B5F	5B5F		5B5F	5B5F	5B5F	5B5F
437	5B64	5B64	5B64	5B64	5B64	5B64	5B64
438	5B69	5B69		5B69	5B69	5B69	5B69
439	5B6B	5B59	5B6B	5B6B	5B59	5B59	5B59
440	5B70	5B70		5B70	5B70	5B70	5B70
441	5B78	5B66	5B66	5B78	5B66	5B66	5B66
442	5B7A	5B7A		5B7A	5B7A	5B7A	5B7A
443	5B7F	5B6A		5B7F	5B6A	5B6A	5B6A
444	5B87	5B87	5B87	5B87	5B87	5B87	5B87
445	5B88	5B88	5B88	5B88	5B88	5B88	5B88
446	5B85	5B85	5B85	5B85	5B85	5B85	5B85
447	5B9C	5B9C	5B9C	5B9C	5B9C	5B9C	5B9C
448	5B98	5B98	5B98	5B98	5B98	5B98	5B98
449	5BA3	5BA3	5BA3	5BA3	5BA3	5BA3	5BA3
450	5BA6	5BA6		5BA6	5BA6	5BA6	5BA6
451	5BB3	5BB3	5BB3	5BB3	5BB3	5BB3	5BB3
452	5BC6	5BC6	5BC6	5BC6	5BC6	5BC6	5BC6
453	5BC7	5BC7		5BC7	5BC7	5BC7	5BC7
454	5BC5	5BC5		5BC5	5BC5	5BC5	5BC5
455	5BC2	5BC2	5BC2	5BC2	5BC2	5BC2	5BC2
456	5BBF	5BBF	5BBF	5BBF	5BBF	5BBF	5BBF
457	5BCC	5BCC	5BCC	5BCC	5BCC	5BCC	5BCC
458	5BD3	5BD3		5BD3	5BD3	5BD3	5BD3
459	5BE5	5BE5		5BE5	5BE5	5BE5	5BE5
460	5BE2	5BDD	5BDD	5BE2	5BDD	5BDD	5BDD
461	5BE6	5B9E	5B9F	5BE6	5B9E	5B9E	5B9E
462	5BEC	5BBD	5BDB	5BEC	5BBD	5BBD	5BBD
463	5BE9	5BA1	5BE9	5BE9	5BA1	5BA1	5BA1
464	5BEB	5199	5199	5BEB	5199	5199	5199
465	5BF5	5BA0		5BF5	5BA0	5BA0	5BA0
466	5BF6	5B9D	5B9D	5BF6	5B9D	5B9D	5B9D
467	5BFA	5BFA	5BFA	5BFA	5BFA	5BFA	5BFA
468	5C04	5C04	5C04	5C04	5C04	5C04	5C04
469	5C08	4E13	5C02	5C08	4E13	4E13	4E13
470	5C07	5C06	5C06	5C07	5C06	5C06	5C06
471	5C0A	5C0A	5C0A	5C0A	5C0A	5C0A	5C0A
472	5C0B	5BFB	5C0B	5C0B	5BFB	5BFB	5BFB
473	5C0D	5BF9	5BFE	5C0D	5BF9	5BF9	5BF9
474	5C0E	5BFC	5C0E	5C0E	5BFC	5BFC	5BFC
475	5C0F	5C0F	5C0F	5C0F	5C0F	5C0F	5C0F
476	5C11	5C11	5C11	5C11	5C11	5C11	5C11
477	5C16	5C16		5C16	5C16	5C16	5C16
478	5C1A	5C1A	5C1A	5C1A	5C1A	5C1A	5C1A
479	5C24	5C24		5C24	5C24	5C24	5C24
480	5C41	5C41		5C41	5C41	5C41	5C41
481	5C3E	5C3E	5C3E	5C3E	5C3E	5C3E	5C3E
482	5C4E	5C4E		5C4E	5C4E	5C4E	5C4E
483	5C4B	5C4B	5C4B	5C4B	5C4B	5C4B	5C4B
484	5C38	5C38		5C38	5C38	5C38	5C38
485	5C55	5C55	5C55	5C55	5C55	5C55	5C55
486	5C51	5C51		5C51	5C51	5C51	5C51
487	5C50	5C50		5C50	5C50	5C50	5C50
488	5C60	5C60		5C60	5C60	5C60	5C60
489	5C5C	5C49		5C5C	5C49	5C49	5C49
490	5C62	5C61		5C62	5C61	5C61	5C61
491	5C64	5C42	5C64	5C64	5C42	5C42	5C42
492	5C6C	5C5E	5C5E	5C6C	5C5E	5C5E	5C5E
493	5C79	5C79		5C79	5C79	5C79	5C79
494	5C8C	5C8C		5C8C	5C8C	5C8C	5C8C
495	5C91	5C91		5C91	5C91	5C91	5C91
496	5CB7	5CB7		5CB7	5CB7	5CB7	5CB7
497	5CB8	5CB8	5CB8	5CB8	5CB8	5CB8	5CB8
498	5CAB	5CAB		5CAB	5CAB	5CAB	5CAB
499	5CED	5CED		5CED	5CED	5CED	5CED
500	5CFB	5CFB		5CFB	5CFB	5CFB	5CFB
501	5CF6	5C9B	5CF6	5CF6	5C9B	5C9B	5C9B
502	5D07	5D07	5D07	5D07	5D07	5D07	5D07
503	5D06	5D06		5D06	5D06	5D06	5D06
504	5D1B	5D1B		5D1B	5D1B	5D1B	5D1B
505	5D22	5CE5		5D22	5CE5	5CE5	5CE5
506	5D50	5C9A	5D50	5D50	5C9A	5C9A	5C9A
507	5D69	5D69		5D69	5D69	5D69	5D69
508	5D84	5D2D		5D84	5D2D	5D2D	5D2D
509	5D87	5C96		5D87	5C96	5C96	5C96
510	5DCD	5DCD		5DCD	5DCD	5DCD	5DCD
511	5DD4	5DC5		5DD4	5DC5	5DC5	5DC5
512	5DE2	5DE2	5DE3	5DE2	5DE2	5DE2	5DE2
513	5DE5	5DE5	5DE5	5DE5	5DE5	5DE5	5DE5
514	5DEB	5DEB		5DEB	5DEB	5DEB	5DEB
515	5DF1	5DF1	5DF1	5DF1	5DF1	5DF1	5DF1
516	5DFD	5DFD		5DFD	5DFD	5DFD	5DFD
517	5DFE	5DFE	5DFE	5DFE	5DFE	5DFE	5DFE
518	5E06	5E06	5E06	5E06	5E06	5E06	5E06
519	5E1A	5E1A		5E1A	5E1A	5E1A	5E1A
